Contract_ID,Clause_Text,Category,Risk_Level,Verdict,Model_Accuracy,F1_Score,Confusion_Matrix
CONT_1040,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1041,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1042,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1043,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1044,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1045,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1046,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1047,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1048,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1049,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1050,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1051,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1052,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1053,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1054,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1055,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1056,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1057,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1058,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1059,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1060,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1061,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1062,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1063,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1064,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1065,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1066,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1067,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1068,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1069,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1070,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1071,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1072,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1073,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1074,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1075,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1076,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1077,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1078,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1079,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1080,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1081,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1082,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1083,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1084,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1085,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1086,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1087,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1088,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1089,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1090,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1091,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1092,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1093,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1094,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1095,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1096,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1097,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1098,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1099,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1100,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1101,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1102,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1103,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1104,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1105,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1106,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1107,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1108,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1109,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1110,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1111,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1112,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1113,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1114,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1115,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1116,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1117,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1118,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1119,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1120,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1121,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1122,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1123,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1124,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1125,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1126,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1127,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1128,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1129,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1130,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1131,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1132,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1133,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1134,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1135,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1136,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1137,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1138,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1139,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1140,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1141,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1142,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1143,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1144,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1145,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1146,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1147,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1148,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1149,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1150,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1151,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1152,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1153,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1154,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1155,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1156,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1157,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1158,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1159,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1160,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1161,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1162,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1163,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1164,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1165,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1166,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1167,Payment shall be made within 30 days of invoice receipt via bank transfer.,Payment Terms,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1168,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1169,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1170,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1171,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1172,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1173,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1174,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1175,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1176,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1177,All work created during employment belongs 100% to the company forever.,Intellectual Property,High,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1178,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1179,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1180,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1181,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1182,The company is not responsible for any personal injury caused during work hours.,Liability,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1183,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1184,The contractor shall indemnify the client against all third-party legal claims.,Indemnification,Medium,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1185,This agreement can be terminated by the employer with 2 days notice without pay.,Termination,High,Do Not Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1186,Neither party is liable for delays caused by natural disasters or war.,Force Majeure,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1187,The service provider warrants that all deliverables will be free of defects for 1 year.,Warranty,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1188,"This contract is governed by the laws of the State of Delhi, India.",Governing Law,Low,Safe to Sign,94.50%,0.92,"[[85, 5], [3, 107]]"
CONT_1189,The employee must not disclose any trade secrets for a period of 10 years.,Confidentiality,Medium,Negotiate,94.50%,0.92,"[[85, 5], [3, 107]]"
