Clause_Number,Category,Confidence,Risk_Score,Clause_Text
52,Indemnification,0.219,3,"3
Company: The Penn Insurance and Annuity Company"
53,Governing Law,0.195,1,"Also referred to as “we,” “our,” and “us,” or “PIA"
54,Indemnification,0.721,3,"”
Contingent Annuitant: The individual designated by the Contract Owner and named in the Contract who
will become the Annuitant in the event that the Annuitant dies before the Contract is terminated or
annuitized"
55,Governing Law,0.376,1,Contract: The combination variable and fixed annuity Contract described in this Summary Prospectus
56,Termination,0.379,3,Contract Anniversary: Any subsequent anniversary date of the Contract Date
57,Intellectual Property,0.325,1,"All values that are
determined on a Contract Anniversary are based on the next close of regular trading on the NYSE"
58,Intellectual Property,0.25,1,"To the
extent the Contract Anniversary falls on a date other than a business day any value to be determined as of
the Contract Anniversary will be determined as of the close of regular trading of the NYSE on the next
business day"
59,Warranty,0.274,2,Contract Date: The date the Contract is issued
60,Indemnification,0.875,3,"Contract Owner or Owner: The person or entity, named in the Contract, unless amended by any
subsequent change in ownership, entitled to exercise all of the ownership rights under the Contract"
61,Warranty,0.793,2,"Contract Specifications Page: The Contract Specifications Page contains your Contract’s individual
specifications"
62,Warranty,0.723,2,Contract Value: The sum of the Variable Account Value and the Fixed Account Value
63,Termination,0.33,3,"Contract Year: The time period between Contract Anniversaries; the first Contract Year runs from the
Contract Date to the first Contract Anniversary"
64,Termination,0.334,3,"Contract Year Quarter: Each three-month period during a Contract Year, with the first Contract Year
Quarter in any Contract Year starting on the Contract Anniversary"
65,Indemnification,0.434,3,"Covered Life: The person designated in the Contract upon whose age/lifetime the features and benefits of
any Rider are based"
66,Warranty,0.228,2,"Death Benefit Enhancement: The amount by which the Enhanced Death Benefit Base exceeds the
Standard Death Benefit payable under the Contract"
67,Warranty,0.262,2,"Deferral Phase: The period prior to the exercise of withdrawals under the Lifetime Withdrawal Guarantee of
the Accumulation Income Rider or under the Living Benefit Guarantee of the Guaranteed Income Rider"
68,Warranty,0.455,2,"Early Access Withdrawal: You are permitted to take withdrawals during the Deferral Phase which do not
initiate the Withdrawal Phase under the Accumulation Income Rider and under the Guaranteed Income
Rider"
69,Termination,0.463,3,"Early Access Withdrawals reduce the applicable benefit base by the greater of the dollar amount of
the withdrawal or a proportional reduction, which could significantly reduce the Rider’s benefit and even
terminate the Rider and the Contract"
70,Warranty,0.539,2,"Effective Waiting Bonus: The component of the Lifetime Withdrawal Rate that is based on the age of each
Purchase Payment under the Lifetime Withdrawal Guarantee of the Accumulation Income Rider"
71,Warranty,0.452,2,"Enhanced Death Benefit Base: The value used to determine the amount of the Death Benefit
Enhancement"
72,Termination,0.486,3,"Enhanced Death Benefit Rider: An optional benefit, for an additional charge, which may be added to your
Contract which provides for the payment of the Death Benefit Enhancement in addition to the Standard
Death Benefit"
73,Warranty,0.265,2,"Excess Withdrawal: Any withdrawal during the Withdrawal Phase in excess of the Guaranteed Annual
Withdrawal Amount under the Accumulation Income Rider and under the Guaranteed Income Rider"
74,Indemnification,0.387,3,"Fixed Account: The account in which amounts are held for the Contract under all Fixed Account Options
prior to the Annuity Date"
75,Warranty,0.657,2,"Fixed Account Option: The Investment Options available under the Company’s Fixed Account, including
the Short-Term Fixed Account and the Fixed Dollar Cost Averaging Options"
76,Warranty,0.407,2,"4
Fixed Account Value: The value of the amounts held in all Fixed Account Options of the Fixed Account for
this Contract"
77,Warranty,0.714,2,"Fixed Dollar Cost Averaging Options: The Investment Options available under the Fixed Account that
provide for credited interest at annual rates declared by the Company and are for use in the Dollar Cost
Averaging Program"
78,Warranty,0.379,2,"Free Withdrawal Amount: The amount, expressed as a percentage of Purchase Payments, a Contract
Owner may withdraw each year during the Surrender Charge Period without incurring a Surrender Charge"
79,Warranty,0.464,2,"Guaranteed Annual Withdrawal Amount (Accumulation Income Rider): The annual amount you may
withdraw under the Accumulation Benefit Rider and based on the amount of the Accumulation Income
Benefit Base and the Lifetime Withdrawal Rate that applies for the Covered Life(ves) at that time"
80,Warranty,0.341,2,"Guaranteed Annual Withdrawal Amount (Guaranteed Income Rider): The annual amount you may
withdraw under the Guaranteed Income Rider and based on the amount of the Guaranteed Income Benefit
Base and the withdrawal rate under the Living Benefit Guarantee at that time"
81,Warranty,0.309,2,"Guaranteed Income Benefit Base: The amount used to determine the Guaranteed Annual Withdrawal
Amount under the Guaranteed Income Rider"
82,Termination,0.407,3,"Guaranteed Income Rider: An optional benefit that may be added to your Contract, for an additional
charge, which provides for guaranteed minimum withdrawals under the Living Benefit Guarantee"
83,Warranty,0.45,2,"Guaranteed Minimum Accumulation Benefit Amount: The guaranteed minimum amount which will be
available as your Contract Value at the end of the Accumulation Benefit Period if you elect to add the
Guaranteed Minimum Accumulation Rider optional benefit to your Contract"
84,Termination,0.443,3,"Guaranteed Minimum Accumulation Rider: An optional benefit that may be added to your Contract, for an
additional charge, at issue which provides for return of minimum value at the end of the Accumulation
Benefit Period"
85,Indemnification,0.366,3,Initial Purchase Payment: The sum of all deposits made into the Contract on the Contract Date
86,Warranty,0.524,2,"Investment Options: The Contract’s investment options that consist of the Variable Investment Options and
the Fixed Account Options"
87,Indemnification,0.327,3,"Joint Annuitant: The individual other than the Annuitant (as designated in the Contract) whose lifetime is
also used as a measuring life for all annuity options, benefits, and features"
88,Warranty,0.496,2,"Joint Life Guarantee: Type of optional benefit that is added to the Contract at issue which designates that
the features and benefits of the Rider(s) will cover two Covered Lives, specified at Contract issue"
89,Warranty,0.449,2,"Lifetime Withdrawal: Withdrawals available under the Lifetime Withdrawal Guarantee of the Accumulation
Income Rider and under the Lifetime Withdrawal Guarantee of the Guaranteed Income Rider that provides
Guaranteed Annual Withdrawal Amounts for the lifetime(s) of the Covered Life(ves)"
90,Warranty,0.43,2,"Lifetime Withdrawal Guarantee: Provides Guaranteed Annual Withdrawal Amounts for the lifetime(s) of the
Covered Life(ves) under the Accumulation Income Rider and under the Lifetime Withdrawal Guarantee of
the Guaranteed Income Rider"
91,Confidentiality,0.231,1,"Lifetime Withdrawal Rate: The percentage applied to the Guaranteed Income Benefit Base (based on the
age of the younger Covered Life) to determine the Guaranteed Annual Withdrawal Amount under the
Lifetime Withdrawal Guarantee provided by the Guaranteed Income Rider"
92,Warranty,0.319,2,"The percentage applied to the
Accumulation Income Benefit Base (equal to the sum of the Age-Based Lifetime Withdrawal Rate and the
Effective Waiting Bonus) to determine the Guaranteed Annual Withdrawal Amount under the Lifetime
Withdrawal Guarantee of the Accumulation Income Rider"
93,Warranty,0.357,2,"Living Benefit Guarantee: Provides Guaranteed Annual Withdrawal Amounts under either the Lifetime
Withdrawal Guarantee or the Standard Withdrawal Guarantee of the Guaranteed Income Rider"
94,Payment Terms,0.263,2,"5
Maturity Age: The oldest age at which annuity payments may begin as specified in your Contract (generally
Actual Age 100)"
95,Termination,0.51,3,"Monthly Anniversary: The same day of each month as the Contract Anniversary; if there is no
corresponding date in the month, the Monthly Anniversary date will be the last date of such month"
96,Confidentiality,0.364,1,"Non-Qualified Contract: A non-qualified annuity is not part of an employer provided retirement program and
may be purchased by any individual or entity; contributions to non-qualified annuities are made with after-tax
dollars"
97,Warranty,0.611,2,"Portfolios: The mutual fund portfolios that are available for investment in the Variable Investment Options of
the Separate Account"
98,Confidentiality,0.294,1,The Portfolios are referred to sometimes as Portfolio Companies
99,Indemnification,0.462,3,Purchase Payment: Any deposit made into the Contract
100,Termination,0.237,3,"Qualified Contract: A qualified annuity is purchased as part of, or in conjunction with, an employer provided
retirement plan, such as a defined benefit pension plan, or an individual retirement arrangement, such as an
Individual Retirement Annuity (IRA)"
101,Confidentiality,0.517,1,"PIA does not issue contracts through 401(k) or similar defined
contribution pension plans"
102,Confidentiality,0.232,1,"Required Minimum Distributions (RMD): Required minimum distributions under the Internal Revenue
Code"
103,Warranty,0.464,2,"Reset Benefit: A benefit available under the Guaranteed Minimum Accumulation Rider, which allows a
Contract Owner to reset the Accumulation Benefit Base as the current Contract Value as of any Contract
Anniversary and start a new Accumulation Benefit Period"
104,Warranty,0.299,2,"Reset Benefit Date: Any Contract Anniversary on which a Reset Benefit has been elected under an
effective Guaranteed Minimum Accumulation Rider"
105,Warranty,0.339,2,"Rider: Optional benefit (or combination of benefits) that adds to, alters, or amends the Contract to provide
additional features to the Base Contract — including the Enhanced Death Benefit Rider, Guaranteed Income
Rider, Accumulation Income Rider, and Guaranteed Minimum Accumulation Rider (although rider availability
may vary by state and may change in the future)"
106,Warranty,0.388,2,"Rider Charge: The applicable charge for an optional benefit Rider that you may purchase with your
Contract"
107,Indemnification,0.328,3,"Separate Account: The PIA Variable Annuity Account I, of The Penn Insurance and Annuity Company, a
segregated asset account of the Company"
108,Warranty,0.495,2,"The Separate Account is divided into subaccounts, each of
which invests exclusively in a specific Portfolio and is referred to sometimes as a Variable Investment
Option"
109,Warranty,0.727,2,"Short-Term Fixed Account: The Investment Option available under the Fixed Account that earns a rate of
interest declared by the Company from time to time"
110,Warranty,0.572,2,"Single Life Guarantee: Type of optional benefit that is added to the Contract at issue which designates that
the features and benefits of the Rider will cover one Covered Life, specified at Contract issue"
111,Indemnification,0.708,3,"Spousal Step-In: Under Code Section 72(s), upon Contract Owner’s death, a spouse who is sole primary
Beneficiary of a Contract may take the Contract as their own"
112,Termination,0.198,3,"Standard Death Benefit: The amount of the death benefit under the Contract, calculated as described
under “What Are the Supplemental Riders and Benefits That Are Available? – Death Benefit"
113,Warranty,0.555,2,"”
Standard Withdrawal Benefit Balance: Used to determine how long the benefit will last under the
Standard Withdrawal Guarantee of the Guaranteed Income Rider"
114,Warranty,0.559,2,"Standard Withdrawal Guarantee: Provides Guaranteed Annual Withdrawal Amounts for the earlier of the
Standard Withdrawal Benefit Balance reducing to zero and the lifetime(s) of the Covered Life(ves) under the
Standard Withdrawal Guarantee of the Guaranteed Income Rider"
115,Warranty,0.332,2,"6
Standard Withdrawal Rate: The percentage applied to the Guaranteed Income Benefit Base to determine
the Guaranteed Annual Withdrawal Amount under the Standard Withdrawal Guarantee of the Guaranteed
Income Rider"
116,Warranty,0.687,2,"The available Standard Withdrawal Rates at the time the Standard Withdrawal Guarantee is
elected will be determined by the then applicable Lifetime Withdrawal Rate and the Standard Withdrawal
Rate Threshold"
117,Warranty,0.633,2,"Standard Withdrawal Rate Threshold: The amount added to the then applicable Lifetime Withdrawal Rate
to determine which Standard Withdrawal Rates are available under the Standard Withdrawal Guarantee of
the Guaranteed Income Rider"
118,Termination,0.293,3,"Step-Up: An increase in the Guaranteed Income Benefit Base, the Accumulation Income Benefit Base, the
Enhanced Death Benefit Base, or the Standard Withdrawal Benefit Balance to an amount equal to 100% of
the Contract Value, determined on the applicable Contract Anniversary"
119,Indemnification,0.382,3,Subsequent Purchase Payment: Any deposit made into the Contract after the Contract Date
120,Warranty,0.477,2,"Surrender Charge: A fee imposed as a percentage of the amount of the Purchase Payments withdrawn in
excess of the Free Withdrawal Amount for the Contract Year during the Surrender Charge Period"
121,Indemnification,0.391,3,Surrender Charge Basis: The sum of all Purchase Payments not yet withdrawn
122,Warranty,0.536,2,"Surrender Charge Period: The number of Contract Years during which a Purchase Payment is subject to a
Surrender Charge"
123,Indemnification,0.343,3,Surrender Value: Contract Value less any charges and fees imposed upon surrender
124,Warranty,0.339,2,Valuation Period: The period from one valuation of Separate Account assets to the next
125,Warranty,0.329,2,"Valuation is
performed on each day the NYSE is open for trading"
126,Warranty,0.401,2,"Variable Account: The account under which amounts are held for the Contract Owner under all Variable
Investment Options prior to the Annuity Date"
127,Warranty,0.631,2,"Variable Account Value: The sum of the values of the Accumulation Units held in the Variable Investment
Options for this Contract"
128,Warranty,0.609,2,"Variable Investment Options: The subaccounts of the Separate Account, each of which invests exclusively
in a specified Portfolio"
129,Warranty,0.33,2,"Withdrawal Phase: The period during which withdrawals are taken under the Lifetime Withdrawal
Guarantee of the Accumulation Income Rider or under the Living Benefit Guarantee of the Guaranteed
Income Rider"
130,Indemnification,0.557,3,"You, Your: The Contract Owner, who can make decisions regarding allocation of Purchase Payments,
transfers, withdrawals, surrender, naming Beneficiary(ies), electing Riders, and other matters (all within the
Contract limits)"
131,Warranty,0.366,2,"7
 
IMPORTANT INFORMATION YOU SHOULD CONSIDER ABOUT THE DEFERRED VARIABLE ANNUITY
CONTRACT
 
 
FEES AND EXPENSES
 
  
 
 
 
 
Charges for
Early
Withdrawals
 
 
 
If you surrender your Contract or withdraw money from the Contract within seven years following
your last Purchase Payment, you will be assessed a Surrender Charge of up to 8"
132,Warranty,0.307,2,"For example, if you make a withdrawal in the first year, you could pay a Surrender Charge of up to
$8,000 on a $100,000 investment"
133,Governing Law,0.307,1,"For more detailed information, see “Surrender Charge” under “What Are the Fees and Charges
Under the Contract?” in the Prospectus"
134,Warranty,0.628,2,"Transaction
Charges
 
 
 
In addition to Surrender Charges, you may also be charged for other transactions, such as
transfers between Investment Options"
135,Governing Law,0.271,1,"For more detailed information, see “Table of Fees and Expenses;” “What Are the Fees and
Charges Under the Contract?” in the Prospectus"
136,Warranty,0.465,2,"Ongoing Fees
and Expenses
 
  
 
The table below describes the fees and expenses that you may pay each year, depending on
the options you choose"
137,Warranty,0.467,2,"Please refer to your Contract Specifications Page for information about
the specific fees you will pay each year based on the options you have elected"
138,Termination,0.387,3,"Annual Fee
  Minimum    Maximum      
 
 
 
 
 
 
    Base Contract1
  
1"
139,Intellectual Property,0.497,1,"40%
   
 
 
 
 
 
 
    Investment Options (Portfolio fees and expenses)2
  
0"
140,Termination,0.38,3,"41%
   
 
 
 
 
 
 
   
Optional benefits available for an additional charge (for a single
optional benefit, if elected)3
  
0"
141,Intellectual Property,0.355,1,"50%
  
 
 
 
 
1  Expressed as an annual percent of Contract Value in the Variable Investment Options"
142,Intellectual Property,0.57,1,2  Expressed as an annual percentage of daily net assets in the Portfolio
143,Intellectual Property,0.243,1,"This range is for the year ended
December 31, 2022, and could change from year to year"
144,Warranty,0.478,2,"3  Expressed as an annual percentage of the applicable benefit base or Variable Account Value, depending on the
optional benefit"
145,Warranty,0.439,2,"Because your Contract is customizable, the choices you make affect how much you will pay"
146,Termination,0.231,3,"To
help you understand the cost of owning your Contract, the following table shows the lowest and
highest cost you could pay each year, based on current charges"
147,Warranty,0.603,2,"The estimate assumes that you
do not take withdrawals from the Contract, which could add Surrender Charges that substantially
increase costs"
148,Intellectual Property,0.577,1,"Lowest Annual Cost:
$1,536
 
      
Highest Annual Cost:
$5,059
 
    
 
 
 
 
Assumes:
 
•  Investment of $100,000
•  5"
149,Intellectual Property,0.353,1,"00% annual appreciation
•  Least expensive combination
of the Contract and Portfolio
fees and expenses
•  No optional benefits
•  No sales charges
•  No additional Purchase
Payments, transfers, or
withdrawals
 
 
  
  
Assumes:
 
•  Investment of $100,000
•  5"
150,Termination,0.271,3,"00% annual appreciation
•  Most expensive combination of Contract, optional
benefits and Portfolio fees and expenses
•  No sales charges
•  No additional Purchase Payments, transfers, or
withdrawals
  
 
 
8
 
RISKS
 
 
 
Risk of Loss
  
You can lose money by investing in this Contract, including loss of your Purchase Payments
(principal)"
151,Warranty,0.243,2,"For more detailed information, see “Summary of Principal Risks of Investing in the Contract"
152,Warranty,0.312,2,"”
 
 
 
Not a Short-
Term
Investment
  
The Contract is not designed for short-term investing and is not appropriate for an investor who
needs ready access to cash"
153,Payment Terms,0.215,2,"The Contract is designed to provide for the accumulation of retirement savings and income on a
long-term basis"
154,Warranty,0.32,2,"As such, you should not use the Contract as a short-term investment or savings
vehicle"
155,Confidentiality,0.19,1,"A Surrender Charge may apply in certain circumstances, and potentially result in a
significant reduction in the Standard Death Benefit, potentially significant reduction in or loss of
optional benefits, and/or federal and state income taxes and tax penalties"
156,Warranty,0.243,2,"For more detailed information, see “Summary of Principal Risks of Investing in the Contract"
157,Warranty,0.671,2,"”
 
 
 
Risks
Associated
with Investment
Options
  
•   An investment in the Contract is subject to the risk of loss/poor investment performance of
the Portfolios you choose, and the value of an investment can vary depending on the
performance of the Portfolios"
158,Warranty,0.745,2,"•   Each Investment Option (the Variable Investment Options and the Fixed Account Options)
has its own unique risks"
159,Warranty,0.363,2,"You should review these Investment Options before making an
investment decision"
160,Warranty,0.59,2,"The performance of the Portfolios will vary among each other, may
underperform similar mutual funds not available through the Variable Investment Options,
and some are riskier than others"
161,Warranty,0.716,2,"•   A discussion of the risk of allocating your Purchase Payments to one or more Portfolios can
be found in the prospectuses for the Portfolios"
162,Warranty,0.473,2,"You should review the prospectuses for the
Portfolios before making an investment decision"
163,Warranty,0.263,2,"For more detailed information, see “Summary of Principal Risks of Investing in the Contract;”
“Appendix A – Portfolio Companies Available Under the Contract;” “Appendix B – Fixed Account
Options"
164,Indemnification,0.575,3,"”
 
 
 
Insurance
Company Risks
  
An investment in the Contract is subject to the risks related to the Company, including:
 
•   Any obligations, guarantees, and benefits of the Contract (including the Fixed Account
Options, the Standard Death Benefit, and the optional Rider benefits) are subject to the
claims-paying ability and financial strength of the Company"
165,Warranty,0.291,2,"•   There are risks relating to the Company’s administration of the Contract, including, among
others, cybersecurity and infectious disease outbreak risks"
166,Confidentiality,0.324,1,"•   If the Company experiences financial distress, it may not be able to meet its obligations to
you"
167,Warranty,0.257,2,"•   More information about the Company, including its financial strength ratings, is available
upon request from the Company at 1-800-523-0650"
168,Confidentiality,0.217,1,"For more detailed information, see “The Penn Insurance and Annuity Company;” “Financial
Statements;” “Insurance Company Risks” under “Summary of Principal Risks of Investing in the
Contract;” “Other Information"
169,Warranty,0.565,2,"”
 
 
9
 
RESTRICTIONS
 
 
 
Investments
  
•   You can allocate your Purchase Payments to the Variable Investment Options (that invest in
the Portfolios) or the Fixed Account Options"
170,Warranty,0.501,2,"•   The minimum amount that may be transferred is $250 or, if less, the total amount held in the
Investment Option"
171,Indemnification,0.436,3,"•   The Company reserves the right to remove or substitute any of the Portfolios as Investment
Options that are available under the Contract"
172,Warranty,0.442,2,"•   In addition, we may limit your ability to make transfers involving the Variable Investment
Options if it is believed that a transfer may disadvantage or potentially harm or hurt the rights
or interests of other Contract Owners"
173,Warranty,0.369,2,"•   We will also reject or reverse a transfer request if for any reason any of the Portfolios do not
accept the purchase of its shares"
174,Indemnification,0.321,3,"•   In addition, we reserve the right to reject any Purchase Payment at any time for any reason"
175,Warranty,0.46,2,"For more detailed information, see “How Do I Change the Contract’s Investment Allocations?;”
“Appendix B – Fixed Account Options;”
 
 
 
Optional
Benefits
  
The Contract offers a selection of optional benefits"
176,Warranty,0.388,2,"•   If you select an optional benefit, you are not permitted to invest in the Short-Term Fixed
Account"
177,Warranty,0.335,2,"In the future, we may change this restriction or add new ones relating to other
Investment Options"
178,Warranty,0.468,2,"•   Withdrawals, including Required Minimum Distributions (“RMDs”), may reduce the value of an
optional benefit by an amount greater than the value withdrawn or result in termination of the
benefit and the Contract"
179,Warranty,0.428,2,"•   Withdrawals under the optional benefits, including Guaranteed Annual Withdrawal Amounts,
are subject to the surrender charge rules"
180,Indemnification,0.474,3,"Therefore, a surrender charge may apply to such
withdrawals"
181,Termination,0.332,3,"•   Subsequent Purchase Payments are not permitted during the Withdrawal Phase of the
Accumulation Income Rider, which means that the Purchase Payments cannot be used at
that time to increase Contract Value, the death benefit or the Accumulation Income Benefit
Base"
182,Warranty,0.575,2,"•   While the Guaranteed Minimum Accumulation Rider provides a guarantee that is designed to
provide a minimum Contract Value, additional Purchase Payments made after the first 12
months of the Accumulation Benefit Period will not be included in the Accumulation Benefit
Base"
183,Warranty,0.395,2,"Any additional Purchase Payments made after the first 12 months will increase the
Contract Value but not the Accumulation Benefit Base and may reduce the likelihood of
receiving the benefit provided by the Guaranteed Minimum Accumulation Rider"
184,Warranty,0.316,2,"•   We may modify or stop offering an optional benefit at any time, and the availability of such
benefits may vary by state"
185,Confidentiality,0.292,1,"For more detailed information, see “What Are the Supplemental Riders and Benefits That Are
Available?”
 
 
TAXES
 
 
 
Tax
Implications
  
•   Consult with a tax professional to determine the tax implications of an investment in and
payments received under this Contract"
186,Confidentiality,0.353,1,"•   If you purchase the Contract through a tax-qualified plan or individual retirement account
(“IRA”), you do not get any additional tax benefit"
